"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"LAIR1"," 19","  8","184","  1"," 15"," 20"," 27"," 10","  7","  9"
"TTYH1","76","32"," 2"," 1"," 2","36"," 6","31","26","26"
"LENG8"," 35","374","116","117","117"," 56","120","154","251","154"
"CDC42EP5","11"," 1"," 2"," 3"," 3"," 2"," 1","10","12"," 1"
"ZNF544","0","5","2","0","3","1","3","0","2","1"
"NR1H2","14","20","12"," 3","16","12","13","12"," 7"," 7"
"GARIN5A"," 5","16"," 0"," 0"," 2","10","18"," 2"," 3","16"
"EMC10","1","1","1","0","0","1","1","1","1","1"
"ZNF135","2","1","1","1","0","0","2","2","1","2"
"ZSCAN18","20","26","11","15","27","17","17","30","19","29"
"ZNF329"," 6","12"," 4"," 8"," 1"," 6","18","16","10","10"
"RPL36"," 855","1134","1492"," 882","1288"," 938","1037"," 471","1205"," 688"
"MICOS13","17","11"," 6"," 4"," 6","17"," 7","13","10"," 7"
"LONP1"," 92"," 68"," 56","108","146"," 79"," 45"," 92","189"," 85"
"DUS3L","25","31","16","13","37","21","13","30","27","46"
"VMAC","2","2","1","0","1","1","0","1","1","3"
"ATCAY"," 94","  1","  1","  2","  0","  6","  1"," 81"," 15","122"
"DAPK3","146","131"," 60","287","142","123","122"," 91","260"," 94"
"EEF2","1921"," 887","1033"," 812","2151","2813"," 760","2302","2963","2297"
"PIAS4","83","52","28","19","74","46","25","68","87","92"
"ZBTB7A","21","23","19"," 4","37","21","15","36","37","39"
"MAP2K2","62","46","27"," 6","17","41","28","44","31","40"
"SIRT6","67","42","23"," 4","37","36","32","47","54","49"
"MIDN","81","49","24"," 2","37","62","22","37","24","28"
"CIRBP","280","358"," 93","111","482","232"," 56","149","605","236"
"FAM174C","158","137"," 61","  9"," 48"," 57"," 65","113"," 69"," 97"
"NFIX"," 62"," 68"," 21","  9"," 25"," 45","100"," 33"," 47"," 33"
"RPS27P29","0","0","0","0","2","0","0","0","1","1"
"ZNF681","3","0","2","1","0","2","5","1","0","0"
"ZIM2","0","2","1","0","0","1","1","3","3","3"
"ZNF567","10"," 9"," 8","12","13"," 9","10"," 8"," 7"," 5"
"KMT2B"," 8","13"," 7"," 5","16"," 8","16","24"," 8","17"
"ZNF136","11","23"," 9","15","21"," 9","14","14","15"," 8"
"ARHGAP33","42","45","12"," 5","12","28","35","77","18","67"
"IRGQ","6","3","2","0","5","3","2","2","2","3"
"ZNF576","3","2","3","2","3","3","2","1","1","1"
"SRRM5","0","4","2","4","4","1","2","3","6","6"
"POLD1"," 8","11"," 9"," 2"," 3"," 6","10","11"," 4"," 4"
