"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"RPL5","166","173","155","124","131","113"," 98","104","102","123"," 97","113"," 87"," 91"
"DIPK1A","89","75","90","63","58","60","56","40","57","56","40","60","43","44"
"SNORA66","25","16","19","29","71","11","33","40","26","78","38","45","43","65"
"RNU6-970P","0","0","0","0","6","0","3","0","0","0","0","0","0","0"
"MTF2","23","30","20","32","27","16","21","20","21","21","23","23","23","22"
"SH2D5","73","58","62","62","45","45","52","46","42","44","45","49","45","44"
"RNU7-200P"," 0","23"," 0","14"," 5","15"," 5"," 7"," 0"," 5"," 6"," 0"," 0"," 0"
"MIR1256","19","21","18","14","16","18","31","24","26","14","19","20","14","22"
"RPS15AP6"," 9","25"," 9","18","20","12"," 7","18","16","14","16","11","12","10"
"HSPE1P27"," 8","13"," 6","19","13","11","17","31","20"," 8","14","22","14","20"
"ECE1","30","19","21","24","21","22","18","29","23","24","37","28","26","24"
"ECE1-AS1","1","2","1","2","2","2","1","3","2","2","3","3","1","4"
"SUSD4","44","51","48","42","39","51","38","44","36","36","40","44","33","31"
"LRRIQ3","1","1","0","1","0","0","0","0","1","1","0","1","1","0"
"TNNI3K","1","2","1","3","1","1","1","1","1","2","1","1","2","1"
"LRRC53","4","4","4","4","3","2","3","3","3","3","2","3","2","3"
"ERICH3","54","38","52","39","35","30","28","40","36","33","29","46","34","34"
"ERICH3-AS1","1","1","0","2","1","1","1","2","1","1","1","1","1","1"
"CRYZ","10"," 9","26","14","18","13","11"," 9","13","16","10","12","11"," 9"
"TYW3","30","32","28","28","28","18","20","20","21","22","13","20","19","18"
"FPGT-TNNI3K","1","2","1","2","2","1","1","1","1","2","2","1","2","2"
"RNA5SP41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RNA5S9","0","0","0","0","0","0","8","0","7","0","6","0","7","3"
"RNA5SP18"," 0"," 0"," 0","14"," 5"," 2"," 5","10"," 9","11"," 0"," 3"," 3"," 6"
"DUSP5P1","1","1","1","7","2","3","5","1","5","2","3","3","1","1"
"OBSCN","6","4","4","7","4","4","5","6","5","3","5","6","6","6"
"RNVU1-30"," 3"," 4"," 4"," 5"," 6"," 6"," 2"," 5"," 9","14"," 5","10"," 7"," 5"
