"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"H3C13","5","4","3","5","1","2","1","4","4","1","0","2","2","3"
"H2BC19P","2","2","3","3","3","1","3","3","2","4","4","2","2","2"
"H2BC20P","6","6","4","7","6","4","5","6","5","6","7","5","6","6"
"H2AC20","58","57","45","73","58","48","29","59","50","57","72","24","61","63"
"H2AC21","45","37","29","37","27","37","28","29","25","25","33","25","24","32"
"BOLA1","18","17","12","11","14","16","11","10","10"," 9","10","10"," 9"," 9"
"SV2A","407","276","400","260","178","341","310","253","253","200","168","348","179","192"
"SF3B4","32","20","28","22","13","22","22","21","24","18","24","27","19","18"
"FCGR1A"," 1"," 2"," 1"," 0","14"," 3"," 2"," 2"," 2","14"," 4"," 1"," 2"," 2"
"AIMP1P2","1","0","2","1","3","0","0","1","0","2","0","1","0","0"
"RPL34P6"," 2"," 1"," 1"," 6","14"," 2"," 5","19"," 8"," 9"," 9"," 3"," 6"," 9"
"KIF21B","51","44","67","55","25","35","56","46","43","25","36","56","44","48"
"TMEM9","58","43","46","40","32","45","39","35","38","37","32","45","31","29"
"IGFN1","1","2","2","1","0","2","1","3","1","0","6","1","1","1"
"CACNA1S","1","1","1","1","0","1","1","0","1","0","0","1","1","1"
"NEDD8P1","2","3","1","3","3","0","3","2","0","9","3","3","2","6"
"SAMD13","2","4","1","2","2","2","2","3","2","1","1","2","2","3"
"UOX","1","3","1","2","2","0","2","1","1","0","0","1","2","1"
"TMEM81","13","10","13","16","14","14","11"," 9","10","12","11","14","10","11"
"MTR","22","24","19","31","23","21","23","26","22","21","32","25","26","26"
"SRP9","247","225","193","224","172","120","145","108","131","136"," 99"," 99","123","101"
"LEFTY3P","1","1","2","1","1","0","2","3","1","1","0","3","0","0"
"TMEM63A","16","13","12"," 8","12","27","12","17","12","18","40","23","10"," 9"
"LEFTY1","1","1","1","1","3","1","2","1","2","1","2","1","1","2"
"LEFTY2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EPHX1"," 46"," 25"," 34"," 55"," 47"," 52"," 50"," 73"," 49"," 62","103"," 40"," 58"," 58"
"TARDBP","76","61","64","73","68","49","54","58","57","65","57","63","63","59"
"SRM","35","22","39","29","21","34","29","30","33","26","33","34","29","25"
"EXOSC10","28","28","25","37","38","24","27","35","28","34","42","34","33","30"
"MTOR-AS1","1","6","2","6","5","2","5","5","4","6","6","7","1","4"
"RNU6-537P"," 3"," 0"," 3"," 4"," 0"," 3"," 0"," 4"," 6"," 0"," 0"," 8","16"," 7"
"SYF2","24","24","22","18","17","14","14","16","21","18","19","19","13","15"
"RSRP1","31","49","28","51","50","26","31","38","35","52","46","35","50","45"
"RHD","1","2","1","0","7","1","2","3","0","4","3","2","4","2"
"SDHDP6"," 5"," 7"," 8"," 4","11"," 9"," 7"," 8"," 4"," 5"," 4"," 3"," 8"," 9"
"TMEM50A","97","78","76","74","49","51","50","56","51","43","46","50","46","44"
"MACO1","62","49","50","53","41","35","34","43","38","39","36","41","42","37"
"TSEN15","10","11","10","10","10"," 7"," 9"," 6"," 8"," 9"," 7"," 7"," 8"," 7"
"LRRC71","1","1","0","1","1","1","1","1","1","0","3","1","1","1"
"MIR765","0","3","0","7","6","3","5","4","8","0","0","0","7","0"
"RN7SL612P","1","2","1","3","1","2","2","0","0","1","7","1","4","6"
"NTRK1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FMN2","52","41","52","65","51","40","49","51","47","47","50","52","55","53"
"GREM2","14","16","15","11"," 8","10","12"," 9","12"," 7"," 7","12"," 9"," 9"
"HNRNPR","60","62","55","59","53","35","41","38","45","46","41","50","41","41"
"ADAMTSL4","2","3","2","5","3","3","3","6","3","3","8","5","3","3"
"PTP4A2","117","104","110"," 87"," 76"," 82"," 78"," 83"," 89"," 81"," 90"," 83"," 57"," 60"
"FNBP1L","23","25","24","31","24","15","18","19","21","25","19","23","28","26"
"ZFYVE9","112","110","112"," 92"," 60"," 73"," 75"," 69"," 78"," 61"," 51"," 98"," 60"," 53"
"PDPN"," 5"," 5"," 6"," 5","12"," 7"," 3"," 5"," 6","16"," 8"," 3"," 4"," 6"
"TMCO4","3","2","3","3","5","3","3","4","3","4","4","4","3","3"
"ADGRB2","157","122","141","147"," 75","119","142","117","113"," 74","102","137","106","102"
"NTNG1","14","16","18","19","11"," 9","11"," 8","12"," 8"," 6","12"," 9","11"
"YY1AP1","41","37","38","40","41","36","34","39","38","39","50","42","37","38"
"ANKRD65","12","12","13","10","16","11"," 8"," 8"," 7","19","17","12","12","12"
"SNAP47","26","21","21","19","16","20","19","16","18","16","15","19","15","14"
"B4GALT2","33","31","33","29","16","22","25","23","25","18","20","23","19","19"
"OLFML2B"," 4"," 3"," 4"," 1"," 3"," 4"," 2"," 3"," 3"," 6","10"," 4"," 1"," 2"
"TTC24","1","1","0","0","0","0","0","0","1","0","0","1","1","0"
"DNASE2B","1","1","1","1","2","0","1","1","1","0","0","1","2","0"
"OR2L2","1","3","1","2","7","2","3","7","3","7","1","5","4","5"
"OR2L3","1","3","2","5","6","1","3","7","2","4","1","4","6","4"
"OR2M4","1","2","1","1","3","1","2","4","1","2","1","2","3","1"
"MANEAL","27","23","27","25","11","19","21","21","17","13","13","25","16","14"
"TNFRSF14","5","5","5","9","9","6","6","8","6","7","9","5","8","5"
"IRF2BP2","67","63","53","45","37","40","37","43","36","38","38","31","33","29"
"RBM15","24","23","24","25","25","19","22","22","21","25","26","23","23","22"
"JMJD4","10"," 8"," 6"," 7"," 4"," 7"," 8"," 6"," 5"," 7"," 6"," 8"," 6"," 5"
"KLHDC7A","0","0","0","0","0","0","0","1","0","0","2","0","0","0"
"MTX1","5","6","6","4","2","4","4","4","3","4","5","4","5","3"
"ARL8A","106"," 74","111"," 71"," 62","101"," 74"," 76"," 80"," 75"," 99"," 98"," 54"," 65"
"GPR37L1","72","23","28","70","19","60","74","60","56","21","82","40","63","60"
"SNX27","50","40","45","42","35","34","39","35","33","31","28","38","32","30"
"CELF3","34","24","35","42","21","26","33","30","27","22","30","39","34","33"
"RIIAD1","11"," 8","10","12"," 6"," 8"," 8"," 9","11"," 6"," 9","11"," 7"," 8"
"MRPL9","41","38","35","34","23","27","26","24","32","23","23","28","20","21"
"OAZ3","2","2","1","2","2","1","2","1","1","2","2","2","2","2"
"LINGO4","1","0","1","0","0","0","0","1","0","0","2","0","0","0"
"C2CD4D-AS1","71","49","43","42","35","68","44","39","38","31","30","36","42","33"
"THEM5","28","27","23","23","20","27","26","30","17","21","19","25","28","28"
"THEM4"," 8","11"," 7"," 6"," 9"," 9"," 8"," 9"," 9","10"," 9"," 8"," 8"," 8"
"S100A10"," 8"," 7","10"," 7","25"," 9"," 3","17","11","40","32"," 6","16","14"
"STIL","4","4","3","3","3","3","3","2","3","4","2","3","3","3"
"NCDN","644","431","493","427","409","476","427","484","372","397","322","480","394","374"
"TFAP2E"," 3"," 3"," 4"," 7"," 8"," 5"," 5"," 6"," 3"," 8"," 9","10"," 6"," 6"
"AMY1B","1","1","1","1","1","1","0","1","0","1","1","0","0","1"
"HPDL","4","3","3","3","2","2","3","1","2","1","5","3","4","1"
"OR2L5","1","4","2","3","8","2","4","8","3","5","3","3","4","6"
"MAN1C1","26","23","24","28","30","21","21","26","17","25","23","22","23","24"
"SELENON","43","21","34","36","33","36","38","44","33","33","49","40","39","39"
"NFASC","76","54","69","68","66","77","69","81","61","71","96","87","67","67"
"CNTN2","51","36","40","21","30","59","29","30","29","45","81","49","26","26"
"SYPL2","2","1","1","1","1","1","2","2","2","1","2","1","2","1"
"CCSAP","149","145","134","140"," 87"," 76"," 80"," 81"," 79"," 71"," 51"," 75"," 78"," 75"
"RNU6-180P","5","0","0","0","0","0","0","0","0","0","6","0","0","0"
"RN7SKP276","7","1","6","5","7","3","2","6","3","4","6","6","5","1"
"ACTA1","1","1","0","1","0","1","0","1","1","1","0","0","1","0"
"ZFP69","7","8","6","7","7","4","5","7","6","7","5","8","7","8"
"EXO5-DT","3","8","3","4","4","1","3","5","7","6","4","4","4","4"
"ZNF684","6","7","6","9","8","6","5","6","7","5","6","6","5","8"
"RNU6ATAC27P"," 0"," 3"," 3"," 0"," 0"," 0"," 0"," 7"," 5"," 0","10","10"," 0"," 0"
"SNHG3"," 8"," 7"," 4"," 7","11"," 4"," 4"," 9"," 5"," 9"," 6"," 5"," 6"," 5"
"SNORA73B","5087","5631","4869","4167","8119","4535","5028","6671","3925","6179","4831","3653","5880","6412"
"PRDX3P2","0","1","3","2","2","0","1","2","0","1","3","1","1","2"
"TRNAU1AP","12","12","11","16","15","11","11","11","12","16","12","13","14","15"
"SNORD99","19","15","13","17","25","12"," 8","16","23","18","36","16","38","40"
"RAB42","1","1","1","1","2","1","1","2","0","2","2","1","1","1"
"TAF12-DT","3","1","0","1","2","1","2","1","0","1","3","0","4","2"
"RNU11","0","3","0","0","2","0","0","0","0","0","0","0","3","0"
"AMY2B","17","14","11","16","17","11","14","12","11","15","14","13","17","16"
"CDK18","24","12","25","17","19","39","26","34","25","29","51","34","17","18"
"GOLT1A","4","2","6","4","3","4","5","1","2","1","3","3","3","1"
"PLEKHA6","76","55","72","74","64","62","70","88","60","58","76","79","74","78"
"PPP1R15B-AS1","2","3","5","7","2","2","4","6","5","3","9","2","5","2"
"RNA5SP74"," 0"," 0"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"ZMYM1"," 8"," 7"," 7","10"," 9"," 5"," 9"," 9"," 7"," 9","11"," 6"," 6"," 8"
"EFCAB14P1","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"RN7SL503P","4","1","0","1","2","0","0","1","2","0","1","1","3","0"
"SNORA62"," 4"," 2"," 0"," 8"," 2"," 2"," 8"," 0"," 8"," 0"," 0","11","11"," 5"
"C1orf146","6","4","2","4","3","2","3","3","2","3","2","2","2","4"
"ACTBP12","0","0","0","0","0","1","1","0","0","1","0","2","1","2"
"GLMN","33","43","32","43","32","25","26","24","25","31","21","25","24","23"
"RPAP2","20","23","19","31","27","14","19","24","20","22","23","24","31","29"
"HMGB3P9"," 6","11"," 7","19","16"," 6"," 9","15","12","13","26","21","19","26"
"RNU4-59P","5","9","0","4","5","5","3","3","0","3","3","0","3","0"
"H3P3","2","0","0","3","2","4","2","8","2","2","2","3","0","0"
"CCNJP2","2","2","1","1","4","1","1","2","3","3","1","3","2","3"
"MNDA"," 3"," 7"," 3"," 2","14"," 7"," 2"," 4"," 3","10"," 5"," 3"," 2"," 2"
"TRIM58","3","3","3","3","2","3","3","4","2","3","2","4","3","2"
"OR2W3","5","6","8","3","3","6","6","6","2","2","2","3","3","2"
"OR2AJ1","1","1","0","0","1","1","1","1","0","1","1","1","0","0"
"CLK3P2","1","0","1","1","0","0","1","1","1","0","0","1","0","2"
"OR2X1P"," 3"," 8"," 4"," 8","11"," 3"," 6","15"," 5","10"," 2"," 6"," 8"," 8"
"OR2L8","4","3","1","4","8","2","2","6","2","7","0","4","4","4"
"ZSCAN20","8","7","6","7","6","7","7","7","7","6","7","7","6","6"
"OR2M1P","0","2","2","4","8","1","2","7","1","5","2","4","4","5"
"OR2M5","0","1","1","1","2","1","1","5","1","2","0","1","1","1"
"OR2M2","1","2","1","1","3","0","1","4","0","6","1","3","1","2"
"GABRD","73","66","70","59","26","59","50","38","48","28","27","58","37","39"
"ZBTB17","25","22","16","18","15","19","15","17","19","16","20","20","16","16"
"SRARP","2","2","1","1","3","2","1","4","3","2","6","1","4","6"
"HSPB7","3","3","2","1","1","2","1","1","2","1","1","1","2","1"
"FAM131C","6","2","5","4","3","5","6","4","5","5","4","4","6","5"
"OR2T8","1","1","1","1","1","1","1","2","0","1","1","3","1","0"
"ZBTB2P1","0","1","0","2","0","0","0","0","0","0","0","0","0","0"
"EFHD2-AS1","1","1","0","1","0","0","0","0","1","0","1","1","1","1"
"EFHD2","104"," 77","119"," 80"," 75","116","105"," 91","100","107","108","129"," 88"," 83"
"OR2T33","1","1","0","1","2","0","0","1","1","2","0","1","0","2"
"ZBTB8A","6","6","5","8","4","3","3","4","4","3","3","3","5","4"
"ZBTB8OS","13","16","14","17","20","12","12","15","15","16","16","17","18","17"
"NRAS","41","38","37","36","27","23","27","23","24","26","21","22","22","20"
"RNY1P13"," 8","14"," 0"," 4"," 9","20"," 9"," 8"," 3"," 3"," 7","11","12"," 0"
"SIKE1","31","33","26","30","21","19","24","19","20","16","14","17","21","19"
"WASH7P","3","2","2","2","2","2","1","1","4","2","3","4","4","2"
"MIR6859-1","17","21"," 0","19","14"," 0"," 0","12","13","14"," 6","18"," 0"," 5"
"ACTN2","18","15","20","19","16","16","18","16","17","16","17","19","13","14"
"OR2M3","1","1","1","1","3","1","2","3","1","3","0","2","2","2"
"OR2T10","1","1","0","1","1","0","1","1","1","1","0","1","1","1"
"OR2T11","1","0","0","1","1","0","1","1","1","1","2","1","1","0"
"ZRANB2-AS1","2","0","1","3","2","1","3","3","2","0","1","0","2","2"
"ZRANB2","73","96","78","91","74","50","53","53","60","62","58","55","69","58"
"MIR186","33","63","18","88","51","38","25","28","53","30","18"," 5","47","26"
"ZRANB2-DT","3","4","2","8","4","2","4","3","4","3","4","4","6","6"
"CERS2","21","13","14","11","17","19","12","16","13","24","27","15","11","11"
"ANXA9"," 9"," 4"," 7"," 5"," 6"," 9"," 7"," 9"," 8"," 8","15"," 9"," 5"," 7"
"PRUNE1","27","17","28","17","19","22","17","20","15","19","15","18","14","13"
"RNU6-884P","5","0","0","4","0","6","0","0","0","0","0","0","0","0"
"BNIPL","2","1","1","1","2","1","1","1","1","2","2","1","1","2"
"C1orf56","7","5","4","7","3","5","5","6","5","4","6","5","6","5"
"CDC42SE1","48","43","38","38","50","43","41","48","37","52","58","49","47","43"
"MLLT11","312","288","338","238","168","221","199","155","206","159"," 86","210","129","114"
"IER5","38","33","32","23","16","19","15","13","17","15","10","23","20","15"
"SLC25A44","42","34","43","36","24","31","35","28","30","23","28","36","25","26"
"FH","29","30","24","25","20","21","20","15","19","17","16","19","14","14"
"KMO","2","4","2","6","2","1","2","2","2","1","1","2","4","3"
"OPN3","19","15","12","16"," 7"," 9"," 9"," 7"," 9"," 6"," 2"," 7"," 7"," 7"
"CHML","65","72","58","68","26","33","34","28","37","21","20","37","32","30"
"ATAD3A"," 9","14"," 9"," 9"," 8"," 8"," 7"," 8"," 7"," 7","11","10"," 8"," 9"
"TMEM240","18","16","14","19","12","12","14","19","17","12"," 9","18","17","14"
"SSU72","38","28","33","29","25","26","30","29","29","26","25","31","21","22"
"MIB2","23","25","21","30","19","16","21","28","19","19","24","25","23","22"
"BCL9","22","13","19","19","17","16","19","22","17","16","17","21","19","18"
"RPL6P3","0","0","1","0","0","0","1","0","1","0","1","0","0","0"
